,date,lfpr_women
0,1948-01-01,32.0
1,1948-02-01,32.4
2,1948-03-01,32.1
3,1948-04-01,33.0
4,1948-05-01,32.0
5,1948-06-01,33.4
6,1948-07-01,33.4
7,1948-08-01,32.7
8,1948-09-01,33.0
9,1948-10-01,32.4
10,1948-11-01,32.6
11,1948-12-01,33.0
12,1949-01-01,32.6
13,1949-02-01,33.0
14,1949-03-01,33.0
15,1949-04-01,32.8
16,1949-05-01,33.1
17,1949-06-01,32.8
18,1949-07-01,33.4
19,1949-08-01,33.5
20,1949-09-01,33.4
21,1949-10-01,33.6
22,1949-11-01,33.7
23,1949-12-01,33.5
24,1950-01-01,33.4
25,1950-02-01,33.4
26,1950-03-01,33.2
27,1950-04-01,33.9
28,1950-05-01,33.6
29,1950-06-01,34.2
30,1950-07-01,33.7
31,1950-08-01,34.1
32,1950-09-01,33.7
33,1950-10-01,34.3
34,1950-11-01,34.4
35,1950-12-01,34.0
36,1951-01-01,34.3
37,1951-02-01,34.2
38,1951-03-01,35.0
39,1951-04-01,34.4
40,1951-05-01,34.7
41,1951-06-01,34.2
42,1951-07-01,35.2
43,1951-08-01,34.7
44,1951-09-01,34.4
45,1951-10-01,34.8
46,1951-11-01,34.7
47,1951-12-01,35.1
48,1952-01-01,35.0
49,1952-02-01,34.9
50,1952-03-01,34.1
51,1952-04-01,34.3
52,1952-05-01,34.7
53,1952-06-01,34.6
54,1952-07-01,34.4
55,1952-08-01,34.4
56,1952-09-01,35.4
57,1952-10-01,34.6
58,1952-11-01,35.4
59,1952-12-01,34.8
60,1953-01-01,35.1
61,1953-02-01,34.9
62,1953-03-01,35.2
63,1953-04-01,34.6
64,1953-05-01,34.0
65,1953-06-01,34.7
66,1953-07-01,34.6
67,1953-08-01,34.2
68,1953-09-01,34.3
69,1953-10-01,34.4
70,1953-11-01,33.9
71,1953-12-01,33.6
72,1954-01-01,33.9
73,1954-02-01,35.0
74,1954-03-01,35.1
75,1954-04-01,35.0
76,1954-05-01,34.6
77,1954-06-01,34.4
78,1954-07-01,34.1
79,1954-08-01,34.3
80,1954-09-01,34.9
81,1954-10-01,34.8
82,1954-11-01,34.6
83,1954-12-01,34.1
84,1955-01-01,34.7
85,1955-02-01,34.5
86,1955-03-01,34.5
87,1955-04-01,35.3
88,1955-05-01,35.0
89,1955-06-01,35.2
90,1955-07-01,35.8
91,1955-08-01,36.4
92,1955-09-01,36.2
93,1955-10-01,36.4
94,1955-11-01,36.5
95,1955-12-01,37.0
96,1956-01-01,36.7
97,1956-02-01,36.3
98,1956-03-01,36.4
99,1956-04-01,36.6
100,1956-05-01,37.1
101,1956-06-01,37.0
102,1956-07-01,37.2
103,1956-08-01,37.0
104,1956-09-01,37.1
105,1956-10-01,36.9
106,1956-11-01,36.9
107,1956-12-01,36.9
108,1957-01-01,36.6
109,1957-02-01,37.1
110,1957-03-01,36.9
111,1957-04-01,36.5
112,1957-05-01,36.6
113,1957-06-01,36.8
114,1957-07-01,37.2
115,1957-08-01,36.6
116,1957-09-01,36.9
117,1957-10-01,37.0
118,1957-11-01,36.9
119,1957-12-01,37.1
120,1958-01-01,36.8
121,1958-02-01,37.0
122,1958-03-01,37.0
123,1958-04-01,37.3
124,1958-05-01,37.4
125,1958-06-01,37.1
126,1958-07-01,37.0
127,1958-08-01,37.3
128,1958-09-01,37.0
129,1958-10-01,37.0
130,1958-11-01,36.8
131,1958-12-01,36.9
132,1959-01-01,37.1
133,1959-02-01,36.8
134,1959-03-01,37.1
135,1959-04-01,37.3
136,1959-05-01,37.1
137,1959-06-01,37.3
138,1959-07-01,37.1
139,1959-08-01,37.1
140,1959-09-01,37.0
141,1959-10-01,37.4
142,1959-11-01,37.0
143,1959-12-01,37.3
144,1960-01-01,37.0
145,1960-02-01,37.1
146,1960-03-01,36.6
147,1960-04-01,37.8
148,1960-05-01,37.9
149,1960-06-01,38.4
150,1960-07-01,38.1
151,1960-08-01,37.9
152,1960-09-01,38.2
153,1960-10-01,37.7
154,1960-11-01,38.2
155,1960-12-01,38.2
156,1961-01-01,38.2
157,1961-02-01,38.5
158,1961-03-01,38.7
159,1961-04-01,38.1
160,1961-05-01,38.1
161,1961-06-01,38.6
162,1961-07-01,38.1
163,1961-08-01,38.0
164,1961-09-01,37.7
165,1961-10-01,38.0
166,1961-11-01,37.8
167,1961-12-01,37.5
168,1962-01-01,37.9
169,1962-02-01,38.0
170,1962-03-01,37.8
171,1962-04-01,37.8
172,1962-05-01,37.8
173,1962-06-01,37.8
174,1962-07-01,37.7
175,1962-08-01,38.3
176,1962-09-01,38.3
177,1962-10-01,37.9
178,1962-11-01,37.8
179,1962-12-01,37.8
180,1963-01-01,38.0
181,1963-02-01,38.2
182,1963-03-01,38.2
183,1963-04-01,38.4
184,1963-05-01,38.5
185,1963-06-01,38.1
186,1963-07-01,38.3
187,1963-08-01,38.0
188,1963-09-01,38.4
189,1963-10-01,38.6
190,1963-11-01,38.5
191,1963-12-01,38.3
192,1964-01-01,38.4
193,1964-02-01,38.8
194,1964-03-01,38.7
195,1964-04-01,39.2
196,1964-05-01,39.1
197,1964-06-01,38.8
198,1964-07-01,38.5
199,1964-08-01,38.6
200,1964-09-01,38.5
201,1964-10-01,38.6
202,1964-11-01,38.5
203,1964-12-01,38.8
204,1965-01-01,38.7
205,1965-02-01,38.8
206,1965-03-01,39.0
207,1965-04-01,39.0
208,1965-05-01,39.0
209,1965-06-01,39.4
210,1965-07-01,39.5
211,1965-08-01,39.3
212,1965-09-01,39.3
213,1965-10-01,39.5
214,1965-11-01,39.6
215,1965-12-01,39.8
216,1966-01-01,39.8
217,1966-02-01,39.6
218,1966-03-01,39.6
219,1966-04-01,39.8
220,1966-05-01,40.0
221,1966-06-01,40.1
222,1966-07-01,40.2
223,1966-08-01,40.5
224,1966-09-01,40.7
225,1966-10-01,40.7
226,1966-11-01,41.1
227,1966-12-01,41.0
228,1967-01-01,40.8
229,1967-02-01,40.7
230,1967-03-01,40.4
231,1967-04-01,40.9
232,1967-05-01,40.7
233,1967-06-01,41.0
234,1967-07-01,41.1
235,1967-08-01,41.2
236,1967-09-01,41.4
237,1967-10-01,41.7
238,1967-11-01,41.6
239,1967-12-01,41.9
240,1968-01-01,41.0
241,1968-02-01,41.4
242,1968-03-01,41.5
243,1968-04-01,41.4
244,1968-05-01,42.0
245,1968-06-01,42.0
246,1968-07-01,41.8
247,1968-08-01,41.4
248,1968-09-01,41.6
249,1968-10-01,41.6
250,1968-11-01,41.8
251,1968-12-01,41.8
252,1969-01-01,41.9
253,1969-02-01,42.3
254,1969-03-01,42.3
255,1969-04-01,42.5
256,1969-05-01,42.4
257,1969-06-01,42.9
258,1969-07-01,42.9
259,1969-08-01,43.0
260,1969-09-01,42.9
261,1969-10-01,43.2
262,1969-11-01,43.0
263,1969-12-01,43.1
264,1970-01-01,43.3
265,1970-02-01,43.2
266,1970-03-01,43.4
267,1970-04-01,43.6
268,1970-05-01,43.1
269,1970-06-01,43.1
270,1970-07-01,43.5
271,1970-08-01,43.4
272,1970-09-01,43.2
273,1970-10-01,43.5
274,1970-11-01,43.5
275,1970-12-01,43.4
276,1971-01-01,43.6
277,1971-02-01,43.3
278,1971-03-01,43.3
279,1971-04-01,43.2
280,1971-05-01,43.2
281,1971-06-01,42.8
282,1971-07-01,43.1
283,1971-08-01,43.3
284,1971-09-01,43.4
285,1971-10-01,43.5
286,1971-11-01,43.8
287,1971-12-01,43.8
288,1972-01-01,43.8
289,1972-02-01,43.6
290,1972-03-01,43.9
291,1972-04-01,43.9
292,1972-05-01,43.9
293,1972-06-01,43.9
294,1972-07-01,43.9
295,1972-08-01,44.0
296,1972-09-01,43.9
297,1972-10-01,43.9
298,1972-11-01,43.9
299,1972-12-01,44.0
300,1973-01-01,43.7
301,1973-02-01,44.3
302,1973-03-01,44.4
303,1973-04-01,44.6
304,1973-05-01,44.6
305,1973-06-01,45.0
306,1973-07-01,44.8
307,1973-08-01,44.8
308,1973-09-01,45.0
309,1973-10-01,45.0
310,1973-11-01,45.3
311,1973-12-01,45.3
312,1974-01-01,45.1
313,1974-02-01,45.4
314,1974-03-01,45.5
315,1974-04-01,45.4
316,1974-05-01,45.5
317,1974-06-01,45.7
318,1974-07-01,46.1
319,1974-08-01,45.7
320,1974-09-01,46.0
321,1974-10-01,45.8
322,1974-11-01,45.9
323,1974-12-01,45.9
324,1975-01-01,46.3
325,1975-02-01,45.9
326,1975-03-01,46.2
327,1975-04-01,46.3
328,1975-05-01,46.4
329,1975-06-01,46.3
330,1975-07-01,46.4
331,1975-08-01,46.5
332,1975-09-01,46.4
333,1975-10-01,46.5
334,1975-11-01,46.4
335,1975-12-01,46.6
336,1976-01-01,46.9
337,1976-02-01,46.9
338,1976-03-01,47.0
339,1976-04-01,47.1
340,1976-05-01,47.2
341,1976-06-01,47.3
342,1976-07-01,47.6
343,1976-08-01,47.6
344,1976-09-01,47.3
345,1976-10-01,47.3
346,1976-11-01,47.7
347,1976-12-01,47.7
348,1977-01-01,47.6
349,1977-02-01,47.9
350,1977-03-01,48.2
351,1977-04-01,48.3
352,1977-05-01,48.4
353,1977-06-01,48.5
354,1977-07-01,48.3
355,1977-08-01,48.6
356,1977-09-01,48.8
357,1977-10-01,48.6
358,1977-11-01,49.1
359,1977-12-01,48.9
360,1978-01-01,49.2
361,1978-02-01,49.2
362,1978-03-01,49.4
363,1978-04-01,49.7
364,1978-05-01,49.9
365,1978-06-01,50.1
366,1978-07-01,50.1
367,1978-08-01,50.0
368,1978-09-01,50.4
369,1978-10-01,50.4
370,1978-11-01,50.5
371,1978-12-01,50.6
372,1979-01-01,50.5
373,1979-02-01,50.8
374,1979-03-01,51.0
375,1979-04-01,50.6
