,Year,Qtr,Value
0,1947,1,23.213
1,1947,2,23.743
2,1947,3,23.015
3,1947,4,23.988
4,1948,1,24.095
5,1948,2,24.033
6,1948,3,24.058
7,1948,4,24.163
8,1949,1,24.41
9,1949,2,24.668
10,1949,3,25.251
11,1949,4,25.112
12,1950,1,25.97
13,1950,2,26.289
14,1950,3,26.857
15,1950,4,26.906
16,1951,1,26.937
17,1951,2,26.853
18,1951,3,27.458
19,1951,4,27.539
20,1952,1,27.68
21,1952,2,27.625
22,1952,3,27.489
23,1952,4,28.062
24,1953,1,28.304
25,1953,2,28.373
26,1953,3,28.494
27,1953,4,28.399
28,1954,1,28.459
29,1954,2,28.659
30,1954,3,29.177
31,1954,4,29.503
32,1955,1,30.081
33,1955,2,30.186
34,1955,3,30.297
35,1955,4,30.186
36,1956,1,29.824
37,1956,2,29.97
38,1956,3,29.964
39,1956,4,30.286
40,1957,1,30.634
41,1957,2,30.512
42,1957,3,30.942
43,1957,4,31.051
44,1958,1,30.63
45,1958,2,31.214
46,1958,3,31.799
47,1958,4,32.338
48,1959,1,32.375
49,1959,2,32.686
50,1959,3,32.73
51,1959,4,32.627
52,1960,1,33.389
53,1960,2,32.871
54,1960,3,33.069
55,1960,4,32.636
56,1961,1,33.055
57,1961,2,33.926
58,1961,3,34.504
59,1961,4,34.795
60,1962,1,35.366
61,1962,2,35.223
62,1962,3,35.811
63,1962,4,36.083
64,1963,1,36.187
65,1963,2,36.462
66,1963,3,37.359
67,1963,4,37.331
68,1964,1,37.618
69,1964,2,37.827
70,1964,3,38.218
71,1964,4,37.85
72,1965,1,38.389
73,1965,2,38.566
74,1965,3,39.353
75,1965,4,40.037
76,1966,1,40.579
77,1966,2,40.296
78,1966,3,40.429
79,1966,4,40.686
80,1967,1,41.01
81,1967,2,41.168
82,1967,3,41.38
83,1967,4,41.499
84,1968,1,42.428
85,1968,2,42.823
86,1968,3,42.843
87,1968,4,42.74
88,1969,1,43.082
89,1969,2,42.73
90,1969,3,42.78
91,1969,4,42.575
92,1970,1,42.71
93,1970,2,43.342
94,1970,3,44.028
95,1970,4,43.628
96,1971,1,44.917
97,1971,2,45.046
98,1971,3,45.476
99,1971,4,45.079
100,1972,1,45.785
101,1972,2,46.69
102,1972,3,46.961
103,1972,4,47.363
104,1973,1,48.431
105,1973,2,48.448
106,1973,3,47.992
107,1973,4,47.694
108,1974,1,47.587
109,1974,2,47.447
110,1974,3,46.965
111,1974,4,47.394
112,1975,1,47.771
113,1975,2,48.536
114,1975,3,49.129
115,1975,4,49.173
116,1976,1,49.902
117,1976,2,50.37
118,1976,3,50.492
119,1976,4,50.639
120,1977,1,50.963
121,1977,2,51.165
122,1977,3,51.702
123,1977,4,51.043
124,1978,1,51.065
125,1978,2,52.073
126,1978,3,52.107
127,1978,4,52.446
128,1979,1,51.972
129,1979,2,51.876
130,1979,3,51.805
131,1979,4,51.753
132,1980,1,52.004
133,1980,2,51.471
134,1980,3,51.68
135,1980,4,52.201
136,1981,1,53.009
137,1981,2,52.325
138,1981,3,52.83
139,1981,4,52.28
140,1982,1,52.041
141,1982,2,52.046
142,1982,3,52.143
143,1982,4,52.584
144,1983,1,53.26
145,1983,2,54.411
146,1983,3,54.654
147,1983,4,54.948
148,1984,1,55.151
149,1984,2,55.479
150,1984,3,55.729
151,1984,4,55.798
152,1985,1,55.965
153,1985,2,56.143
154,1985,3,56.856
155,1985,4,57.084
156,1986,1,57.771
157,1986,2,58.223
158,1986,3,58.472
159,1986,4,58.351
160,1987,1,58.084
161,1987,2,58.487
162,1987,3,58.497
163,1987,4,59.065
164,1988,1,59.271
165,1988,2,59.416
166,1988,3,59.577
167,1988,4,59.717
168,1989,1,59.751
169,1989,2,59.94
170,1989,3,60.231
171,1989,4,60.241
172,1990,1,60.808
173,1990,2,61.233
174,1990,3,61.429
175,1990,4,60.791
176,1991,1,60.986
177,1991,2,61.972
178,1991,3,62.504
179,1991,4,62.798
180,1992,1,64.049
181,1992,2,64.601
182,1992,3,65.174
183,1992,4,65.57
184,1993,1,65.001
185,1993,2,64.621
186,1993,3,64.903
187,1993,4,65.155
188,1994,1,65.349
189,1994,2,65.404
190,1994,3,65.033
191,1994,4,65.721
192,1995,1,65.772
193,1995,2,66.088
194,1995,3,66.076
195,1995,4,66.445
196,1996,1,66.866
197,1996,2,67.511
198,1996,3,67.757
199,1996,4,67.814
200,1997,1,67.673
201,1997,2,68.676
202,1997,3,69.246
203,1997,4,69.592
204,1998,1,70.22
205,1998,2,70.612
206,1998,3,71.557
207,1998,4,72.112
208,1999,1,73.115
209,1999,2,73.367
