,Year,Qtr,Value
0,1947,1,35.824
1,1947,2,36.121
2,1947,3,36.401
3,1947,4,36.236
4,1948,1,36.324
5,1948,2,36.236
6,1948,3,36.368
7,1948,4,37.064
8,1949,1,37.652
9,1949,2,37.777
10,1949,3,38.181
11,1949,4,38.156
12,1950,1,39.257
13,1950,2,39.797
14,1950,3,39.846
15,1950,4,40.03
16,1951,1,39.388
17,1951,2,39.872
18,1951,3,40.344
19,1951,4,40.516
20,1952,1,40.786
21,1952,2,40.984
22,1952,3,41.211
23,1952,4,42.189
24,1953,1,42.796
25,1953,2,43.139
26,1953,3,43.399
27,1953,4,43.756
28,1954,1,44.028
29,1954,2,44.153
30,1954,3,44.623
31,1954,4,45.199
32,1955,1,45.444
33,1955,2,45.879
34,1955,3,46.663
35,1955,4,46.942
36,1956,1,47.67
37,1956,2,48.269
38,1956,3,48.509
39,1956,4,48.908
40,1957,1,49.203
41,1957,2,49.281
42,1957,3,49.494
43,1957,4,49.925
44,1958,1,49.355
45,1958,2,49.468
46,1958,3,50.641
47,1958,4,50.79
48,1959,1,51.193
49,1959,2,51.533
50,1959,3,51.568
51,1959,4,51.752
52,1960,1,52.807
53,1960,2,52.837
54,1960,3,53.126
55,1960,4,53.018
56,1961,1,53.376
57,1961,2,54.14
58,1961,3,54.332
59,1961,4,54.646
60,1962,1,55.302
61,1962,2,55.464
62,1962,3,55.695
63,1962,4,56.066
64,1963,1,56.446
65,1963,2,56.626
66,1963,3,56.858
67,1963,4,57.352
68,1964,1,57.031
69,1964,2,57.571
70,1964,3,58.197
71,1964,4,58.354
72,1965,1,58.41
73,1965,2,58.428
74,1965,3,58.867
75,1965,4,59.423
76,1966,1,59.892
77,1966,2,60.298
78,1966,3,60.636
79,1966,4,60.955
80,1967,1,61.626
81,1967,2,62.251
82,1967,3,62.466
83,1967,4,62.629
84,1968,1,63.686
85,1968,2,64.097
86,1968,3,64.275
87,1968,4,64.752
88,1969,1,64.844
89,1969,2,64.868
90,1969,3,65.131
91,1969,4,65.391
92,1970,1,65.528
93,1970,2,65.652
94,1970,3,66.043
95,1970,4,65.747
96,1971,1,66.542
97,1971,2,66.904
98,1971,3,67.157
99,1971,4,67.121
100,1972,1,68.433
101,1972,2,68.788
102,1972,3,69.148
103,1972,4,69.73
104,1973,1,70.454
105,1973,2,69.969
106,1973,3,69.804
107,1973,4,69.458
108,1974,1,68.99
109,1974,2,68.949
110,1974,3,69.054
111,1974,4,68.847
112,1975,1,69.454
113,1975,2,70.093
114,1975,3,69.926
115,1975,4,69.778
116,1976,1,70.311
117,1976,2,71.001
118,1976,3,71.353
119,1976,4,71.828
120,1977,1,71.869
121,1977,2,72.071
122,1977,3,72.471
123,1977,4,72.654
124,1978,1,73.45
125,1978,2,73.119
126,1978,3,73.195
127,1978,4,73.574
128,1979,1,73.773
129,1979,2,73.483
130,1979,3,73.167
131,1979,4,73.195
132,1980,1,72.942
133,1980,2,73.133
134,1980,3,73.229
135,1980,4,73.442
136,1981,1,73.249
137,1981,2,73.144
138,1981,3,73.3
139,1981,4,73.245
140,1982,1,74.287
141,1982,2,74.081
142,1982,3,73.964
143,1982,4,74.245
144,1983,1,74.562
145,1983,2,74.375
